time,open,high,low,close,volume,oi,oi_change,funding_rate,KAMA_10_2_5,KAMA_20_2_10,ULT_RSI_10,ADX_10,ADXR_10_2,DMP_10,DMN_10,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0
1770148800,2204.1,2349.0,2187.2,2299.15,2892713.0,9606.67,0.1448996763136945,-0.02640736,2231.638233960299,2284.3250000000003,38.72784369123865,77.94560307262205,81.64566488612473,24.19343974707521,34.34643571122946,2169.1688291527093,2284.3250000000003,2399.481170847291,10.082293092908488,0.5643691080161883
1770152400,2299.3,2338.55,2279.0,2283.65,1562199.0,8390.84,0.03637958079616621,-0.01615454,2237.5989888094505,2284.289242257279,38.40434782608695,71.88541542752681,78.28228016401623,21.960240547230875,31.17605425453333,2173.838451680082,2284.2607142857146,2394.682976891347,9.668096282972801,0.4972346414966354
1770156000,2283.8,2285.7,2227.7,2235.45,1112546.0,8096.3,-0.0031495171068767203,-0.03864002,2237.2997645951555,2281.813651144714,34.64275023601738,67.60968213489429,72.77764260375817,19.96580340674377,36.37753853001778,2167.6905440477294,2279.612074829932,2391.533605612135,9.819348828510885,0.3027096550534545
1770159600,2234.15,2247.5,2211.5,2232.65,758763.0,8121.88,-0.017417446481608145,-0.05347292,2236.6190203648525,2278.377609647521,35.10996549286991,64.09916676832015,67.99229109792347,18.78896173118456,36.88577112136698,2166.0189387296286,2275.1394962747004,2384.260053819772,9.592427868598394,0.30530938793476103
1770163200,2232.6,2256.05,2222.85,2240.1,495341.0,8265.85,-0.04997218595413655,-0.05797248,2237.031242191753,2275.802648380237,38.073770491803245,60.579573982625014,64.09462805875965,19.185620648868092,34.78482851111761,2167.4988772040765,2271.8024013913955,2376.1059255787145,9.182446864519283,0.3480281388457155
1770166800,2240.15,2281.0,2240.15,2267.75,850179.0,8700.64,0.025535124941065357,-0.04202669,2240.973562053758,2275.4229241846633,46.125336255853334,56.36800155735604,60.23358416283809,22.210057662698045,32.26898651374075,2169.647370446909,2271.4164584017385,2373.185546356568,8.960847983503509,0.4819863846899862
1770170400,2268.05,2275.85,2241.6,2250.95,1179370.0,8484.0,-0.18243921053924894,-0.03917209,2242.141343342781,2274.11071479044,47.102771045201216,52.577586374613965,56.57858017861949,20.809654375607344,30.234340972913344,2170.937033408246,2269.467271887287,2367.9975103663282,8.68311605102844,0.40603254303892616
1770174000,2251.25,2295.3,2247.95,2282.65,1597347.0,10377.21,0.005830149286715436,-0.03294702,2248.8200801508115,2274.4853178023263,61.181224561506255,48.30963755742139,52.33881955738872,22.59931206960653,27.564583739040618,2175.8658588651433,2270.7227698027837,2365.579680740424,8.354776919410453,0.5628695899925388
1770177600,2282.65,2289.6,2270.0,2273.35,963505.0,10317.06,0.03847895977565674,-0.02230327,2254.5816387321524,2274.434967822022,62.411541619423616,44.46848362194807,48.52303499828102,21.717307520715213,26.488794875589928,2179.4967162269004,2270.9729822025183,2362.4492481781363,8.056129834437666,0.5129925384039787
1770181200,2273.4,2280.1,2255.7,2264.9,1271444.0,9934.78,-0.10389783758138149,-0.01763096,2256.3180775409,2274.0526017063266,53.85666861941031,41.56637485893848,44.938006208179935,20.6049645300067,28.133840789392174,2180.2162890915624,2270.394602945136,2360.5729167987092,7.943844980656216,0.4695347877425521
1770184800,2264.7,2283.85,2257.75,2277.05,1366133.0,11086.66,-0.01730472465163191,-0.0205856,2259.2219977775517,2274.1545220543853,57.92185730464334,38.750952617379404,41.60971811966374,20.24706373218126,26.519461371550197,2181.048502810003,2271.0284502836944,2361.008397757386,7.924158542571432,0.533460509176594
1770188400,2276.95,2293.0,2262.95,2283.45,1268282.0,11281.89,-0.006888993543219035,-0.01463923,2261.920302472559,2274.480821041781,64.73272490221632,35.69974819621719,38.63306152757784,20.94476078035304,24.705874835379223,2181.795460421677,2272.2114550185806,2362.6274496154842,7.958413764458752,0.5621490977980352
1770192000,2283.35,2285.5,2266.1,2279.35,1248456.0,11360.15,0.01317737504905292,-0.02175071,2265.4300499954106,2274.66939977007,64.534609951342,32.953664217171195,35.852308417275296,19.965349191498326,23.55058734461626,2184.1329734720694,2272.8913164453825,2361.6496594186956,7.810170449515726,0.5363835293576817
